"03364: Gjennomsnittlig kvadratmeterpris, etter ̴r, type enebolig, region og statistikkvariabel"

"̴r";"Nye eneboliger 02 Akershus (-2019) Kvadratmeterpris (kr)";"Nye eneboliger 03 Oslo Kvadratmeterpris (kr)";"Brukte eneboliger 02 Akershus (-2019) Kvadratmeterpris (kr)";"Brukte eneboliger 03 Oslo Kvadratmeterpris (kr)"
"1999";9807;11905;9561;13372
"2000";11249;14598;11228;15645
"2001";15280;15800;14040;18141
"2002";16337;19313;14834;20690
"2003";18010;18629;14679;20217
"2004";18833;20831;15815;21919
"2005";19932;23402;16735;25504
"2006";19932;24861;18868;28099
"2007";23241;27468;21278;31046
"2008";26009;..;21067;31603
"2009";26332;39987;21503;32601
"2010";28521;41969;22692;35100
"2011";29731;42799;24244;38480
"2012";32257;48212;25557;41017
"2013";34708;53680;26786;41948
"2014";37105;52765;27509;42606
"2015";38931;54567;29519;46753
"2016";40523;58235;32461;51941
"2017";41674;63020;35028;57525
"2018";45834;66499;35985;58761
"2019";49722;62107;36960;61729
"2020";.;73255;.;60603
